"id","user_id","task","date","status"
3,1,"Lunch","1739383200000","done"
4,1,"Robotics Development","1739386800000","done"
5,1,"Robotics Development","1739390400000","done"
6,1,"Robotics Development","1739394000000","done"
7,1,"Self Coding","1739397600000","done"
8,1,"Self Coding","1739401200000","done"
16,1,"book study","1739484000000","done"
17,1,"book study","1739487600000","done"
25,1,"Work on Livingroom","1739570400000","done"
26,1,"Work on Livingroom","1739574000000","done"
28,1,"Prepare for Meeting","1740067200000","done"
29,1,"Head to Meeting","1740070800000","done"
30,1,"Meeting Northland","1740074400000","done"
31,1,"Socialize","1740078000000","done"
32,1,"Go see puppies","1740081600000","done"
33,1,"Go see puppies","1740085200000","done"
34,1,"Go see puppies","1740088800000","done"
35,1,"Taxes","1740092400000","done"
38,1,"Leave for meeting","1740502800000","done"
39,1,"Meeting","1740506400000","done"
40,1,"Socialize","1740510000000","done"
41,1,"Robotics Development","1740517200000","done"
42,1,"Robotics Development","1740520800000","done"
43,1,"Robotics Development","1740524400000","done"
44,1,"Coding Development","1741100400000","done"
45,1,"Lunch","1741104000000","done"
46,1,"Building Work Station","1741107600000","done"
47,1,"Building Work Station","1741111200000","done"
48,1,"Building Work Station","1741114800000","done"
49,1,"Vet for Duke","1741118400000","done"
50,1,"Building Work Station","1741122000000","done"
51,1,"Building Work Station","1741125600000","done"
52,1,"Dr Chavda Call","1741129200000","done"
53,1,"Coding Development","1741186800000","done"
54,1,"Coding Development","1741190400000","done"
55,1,"Self Coding","1741194000000","done"
56,1,"Lunch","1741197600000","done"
57,1,"Building Work Station","1741201200000","done"
58,1,"Building Work Station","1741204800000","done"
59,1,"Building Work Station","1741208400000","done"
60,1,"Building Work Station","1741212000000","done"
61,1,"Building Work Station","1741215600000","done"
62,1,"Coding Development","1741273200000","done"
63,1,"Lunch","1741276800000","done"
64,1,"Prepare for Meeting","1741280400000","done"
65,1,"Meeting - Northland","1741284000000","done"
66,1,"Socialize & Head Home","1741287600000","done"
67,1,"Building Work Station","1741291200000","done"
68,1,"Building Work Station","1741294800000","done"
69,1,"Robotics Development","1741298400000","done"
70,1,"Robotics Development","1741302000000","done"
71,1,"Coding Development","1741359600000","done"
72,1,"Coding Development","1741960800000","done"
73,1,"work on Self","1741964400000","done"
74,1,"Get Ready","1741968000000","done"
75,1,"Drive to Tax Office","1741971600000","done"
76,1,"Tax Office - Registartation","1741975200000","done"
77,1,"Drive Home","1741978800000","done"
79,1,"Work on Work Station","1741986000000","done"
80,1,"Clean Living Room","1741989600000","done"
81,1,"Coding Development","1742220000000","done"
82,1,"Coding Development","1742223600000","done"
83,1,"Lunch","1742227200000","done"
84,1,"Work on My Office","1742230800000","done"
85,1,"Work on My Office","1742234400000","done"
86,1,"Work on My Office","1742238000000","done"
90,1,"Slept","1742565600000","done"
91,1,"Slept","1742569200000","done"
92,1,"Coding Development","1742824800000","done"
93,1,"Coding Development","1742828400000","done"
101,1,"Coding Development","1742911200000","done"
102,1,"Work on Station","1742925600000","done"
103,1,"Work on Station","1742929200000","done"
104,1,"Work on Station","1742932800000","done"
105,1,"Work on Station","1742936400000","done"
106,1,"Work on Station","1742940000000","done"
107,1,"Coding Development","1742997600000","done"
108,1,"Coding Development","1743001200000","done"
109,1,"Lunch","1743004800000","done"
2,1,"Coding Development","1739379600000","done"
11,1,"Coding Development","1739466000000","done"
20,1,"Coding Development","1739552400000","done"
37,1,"Coding Development","1740499200000","done"
13,1,"Robotics Development","1739473200000","done"
14,1,"Robotics Development","1739476800000","done"
15,1,"Robotics Development","1739480400000","done"
22,1,"Robotics Development","1739559600000","done"
23,1,"Robotics Development","1739563200000","done"
12,1,"Lunch","1739469600000","done"
21,1,"Lunch","1739556000000","done"
94,1,"Lunch","1742832000000","done"
78,1,"Work on Work Station","1741982400000","done"
87,1,"Work on Work Station","1742241600000","done"
88,1,"Work on Work Station","1742245200000","done"
89,1,"Work on Work Station","1742248800000","done"
95,1,"Work on Work Station","1742835600000","done"
96,1,"Work on Work Station","1742839200000","done"
97,1,"Work on Work Station","1742842800000","done"
98,1,"Work on Work Station","1742846400000","done"
99,1,"Work on Work Station","1742850000000","done"
100,1,"Work on Work Station","1742853600000","done"
116,1,"Clean Livingroom","1743084000000","done"
117,1,"Clean Livingroom","1743087600000","done"
118,1,"Lunch","1743091200000","done"
119,1,"Clean Livingroom","1743094800000","done"
120,1,"Clean Livingroom","1743098400000","done"
121,1,"Clean Livingroom","1743102000000","done"
122,1,"Clean Livingroom","1743105600000","done"
123,1,"Clean Livingroom","1743109200000","done"
124,1,"Leave for Dallas","1743112800000","done"
125,1,"Self Coding","1743170400000","done"
126,1,"Self Coding","1743174000000","done"
127,1,"Self Coding","1743177600000","done"
128,1,"Socialize With Mom","1743181200000","done"
129,1,"Socialize With Mom","1743184800000","done"
130,1,"Get Ready for Hospital","1743188400000","done"
131,1,"Wait for Surgery","1743192000000","done"
132,1,"Wait for Surgery","1743195600000","done"
133,1,"Have Surgery","1743199200000","done"
134,1,"Coding Development","1744725600000","done"
